Key,Question,Answer,Aliases,Type,Status,Sensitivity,Options
full_name,Full Name,Example Candidate,Name;Candidate name,text,verified,safe,
email,Email Address,candidate@example.com,Email;E-mail,email,verified,safe,
phone,Phone Number,9999999999,Phone;Mobile;Mobile number,tel,verified,safe,
linkedin,LinkedIn URL,https://www.linkedin.com/in/example,LinkedIn;LinkedIn profile,url,verified,safe,
github,GitHub URL,https://github.com/example,GitHub;GitHub profile,url,verified,safe,
country,Country,India,Country of residence;Current country,select,verified,safe,
notice_period,What is your notice period?,14 days,Notice period;How soon can you join?,text,verified,review,
work_authorization,Are you authorized to work in India?,Yes,India work authorization;Right to work,radio,verified,review,Yes;No
sms_consent,I consent to SMS messages,No,SMS consent;Text message consent,radio,verified,legal,Yes;No
motivation,Why do you want this role?,Write a reviewed answer here,Why this company?;Reason for applying,textarea,draft,review,
